company,skills
CAPITAL ONE FINANCIAL SERVICES CLIENT,"cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
CODEC Networks,"hive  ,  algorithms  ,  data mining  ,  pig  ,  sql  ,  java  ,  apache  ,  hadoop  ,  technical skills  ,  big data  ,  hbase  ,  python  ,  impala  ,  machine learning  ,  mapreduce  ,  consultant"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"big data  ,  python  ,  scala  ,  sql  ,  cloud computing  ,  san  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
MongoDB Software India Pvt Ltd.,"learning  ,  communication  ,  communication skills  ,  leave policy  ,  decision making  ,  interview"
Rapido,"big data  ,  rest  ,  python  ,  machine learning  ,  nosql  ,  written communication"
consilium software inc.,"algorithms  ,  artificial intelligence  ,  salesforce  ,  java  ,  data structures  ,  python  ,  oracle  ,  team player  ,  machine learning"
tech pathway,"hive  ,  algorithms  ,  machine learning  ,  sql  ,  pig  ,  nosql  ,  d3.js  ,  cassandra  ,  mongodb  ,  hbase"
Doodleblue Innovations Pvt Ltd,"algorithms  ,  d3.js  ,  machine learning  ,  mongodb  ,  nosql"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  ds  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  ds  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"sql  ,  cloud computing  ,  san  ,  python  ,  machine learning"
Flytxt Mobile Solutions Pvt Ltd,"fundamentals  ,  algorithms  ,  conference  ,  artificial intelligence  ,  apache  ,  python  ,  machine learning  ,  dsm"
Nielsen Research Ltd. Co.,"algorithms  ,  c    ,  scala  ,  sql  ,  java  ,  git  ,  distributed databases  ,  debugging  ,  hadoop  ,  python  ,  cloud services  ,  sas  ,  machine learning"
cognitio analytics,"python  ,  sas  ,  problem solving  ,  machine learning  ,  sql  ,  technical skills"
WALMART INDIA,"financial analysis  ,  closing  ,  excel  ,  finance"
Spectrum Softtech Solutions Pvt Ltd,"fundamentals  ,  algorithms  ,  python  ,  machine learning  ,  .net"
Citibank India,"orchestration  ,  program management  ,  java  ,  big data  ,  python  ,  impala  ,  unix  /  linux  ,  algorithms  ,  scala  ,  bi  ,  hadoop  ,  cloud computing  ,  operating system  ,  written communication  ,  infrastructure  ,  hdfs"
Citibank India,"orchestration  ,  program management  ,  java  ,  big data  ,  python  ,  impala  ,  unix  /  linux  ,  algorithms  ,  scala  ,  bi  ,  hadoop  ,  cloud computing  ,  operating system  ,  written communication  ,  infrastructure  ,  hdfs"
WELLS FARGO INDIA,"portfolio management  ,  wealth management  ,  factset  ,  frm  ,  risk management  ,  bloomberg  ,  chartered financial analyst  ,  exceptions"
Morgan Stanley Pvt Ltd,"algorithms  ,  artificial intelligence  ,  sql  ,  digitization  ,  python  ,  machine learning  ,  written communication"
infimetrics info solutions pvt. ltd,"python  ,  css  ,  c    ,  html  ,  machine learning  ,  technical skills"
glan management consultancy pvt. ltd.,"security  ,  python  ,  sas  ,  machine learning  ,  sql"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  san  ,  python  ,  machine learning"
xtranet technologies private limited,"python  ,  css  ,  xpath  ,  ece  ,  web technologies  ,  html  ,  machine learning  ,  javascript"
NextGen Invent,"algorithms  ,  python  ,  nextgen  ,  machine learning  ,  artificial intelligence  ,  sql  ,  written communication"
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
arimon digilytics pvt ltd,"data science  ,  analyst  ,  data scientist"
Nielsen Research Ltd. Co.,"bi  ,  data science  ,  data scientist  ,  data visualization  ,  business analytics  ,  tableau"
Tuebora Software Private Limited,"business requirements  ,  text analytics  ,  data science  ,  data scientist"
Merkle Inc.,"dashboards  ,  data science  ,  data analysis  ,  data analytics  ,  consulting"
WALMART INDIA,"business requirements  ,  information technology  ,  data analytics  ,  director  ,  data governance  ,  business solutions  ,  data science  ,  data visualization  ,  business analytics"
WALMART INDIA,"business requirements  ,  information technology  ,  bi  ,  dashboards  ,  sql  ,  data science  ,  san  ,  advanced analytics  ,  predictive analytics  ,  tableau  ,  business process  ,  vba"
AugmatrixGo,"dashboards  ,  sql  ,  tableau  ,  data scientist  ,  data visualization"
Perfios Software Solutions Pvt. Ltd.,"scala  ,  java  ,  big data  ,  mongodb  ,  python  ,  rdbms  ,  machine learning  ,  nosql  ,  cassandra  ,  infrastructure"
